City,Country,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
Tuatapere,NZ,-46.13,167.68,18,75,55.0,4.0
Belmonte,BR,-15.86,-38.88,40,78,80.6,9.17
Kalakamati,BW,-20.59,27.31,75,75,64.42,10.22
Montepuez,MZ,-13.13,39.0,73,98,67.86,2.8
Avarua,CK,-21.21,-159.78,100,88,80.6,18.34
La Sarre,CA,48.8,-79.2,59,81,15.13,11.48
Khuzhir,RU,53.19,107.34,99,79,17.17,12.19
Arraial do Cabo,BR,-22.97,-42.03,82,86,78.6,5.64
Saint-Philippe,RE,-21.36,55.77,90,88,75.2,6.93
Ushuaia,AR,-54.8,-68.3,40,41,57.2,16.11
Najrān,SA,17.49,44.13,8,33,77.0,4.7
Biak,ID,-0.91,122.88,45,72,80.6,3.85
Airai,TL,-8.93,125.41,0,67,72.9,4.52
Alta Floresta,BR,-9.88,-56.09,100,93,74.52,1.39
Fort Nelson,CA,58.81,-122.7,75,80,32.0,9.17
Hambantota,LK,6.12,81.12,100,80,78.75,10.45
Mandera,KE,3.94,41.87,29,65,81.59,15.28
Ahipara,NZ,-35.17,173.17,0,55,62.74,12.01
Puerto Ayora,EC,-0.74,-90.35,20,62,84.2,9.17
Norman Wells,CA,65.28,-126.83,90,85,23.0,3.36
Pangody,RU,65.85,74.49,99,93,17.33,16.4
Jizan,SA,17.33,42.67,39,74,82.4,11.41
Pinsk,BY,52.12,26.1,99,87,37.54,5.26
Belaya Gora,RU,68.53,146.42,96,90,-4.13,9.55
Māndvi,IN,22.83,69.37,0,25,72.03,8.75
Punta Arenas,CL,-53.15,-70.92,75,54,55.4,24.16
Cidreira,BR,-30.18,-50.21,96,79,73.58,22.35
Benito Juarez,MX,19.39,-99.17,75,42,86.0,10.29
Iqaluit,CA,63.75,-68.51,90,72,15.8,17.22
Benguela,AO,-12.58,13.41,100,83,76.78,2.55
St. George's,GD,12.06,-61.75,20,78,78.8,6.93
Hithadhoo,MV,-0.6,73.08,65,76,84.47,12.73
Saskylakh,RU,71.92,114.08,17,79,-21.69,10.29
Wuwei,CN,37.93,102.64,24,27,39.25,7.85
Ruy Barbosa,BR,-12.28,-40.49,65,72,76.28,4.25
Ierapetra,GR,35.01,25.74,40,58,54.0,19.46
Rikitea,PF,-23.12,-134.97,4,78,80.71,11.9
Mitsamiouli,KM,-11.38,43.28,97,64,83.68,0.54
Busselton,AU,-33.65,115.33,35,94,53.01,17.47
Pisco,PE,-13.7,-76.22,90,30,71.6,18.34
Atuona,PF,-9.8,-139.03,1,73,82.94,10.04
Vaini,TO,-21.2,-175.2,75,94,77.0,10.29
Nhulunbuy,AU,-12.23,136.77,75,66,84.2,10.29
Bethel,US,41.37,-73.41,1,70,53.01,6.93
Saldanha,ZA,-33.01,17.94,0,82,62.6,6.93
Kalmunai,LK,7.42,81.82,100,77,80.67,3.56
Esmeraldas,BR,-19.76,-44.31,75,83,69.8,5.82
Chui,UY,-33.7,-53.46,100,83,67.77,9.93
Tomatlán,MX,19.93,-105.25,0,51,81.54,6.89
Saint George,US,37.1,-113.58,20,47,60.8,14.99
Coquimbo,CL,-29.95,-71.34,20,82,60.8,9.17
Kaitangata,NZ,-46.28,169.85,2,72,49.21,5.1
Lowestoft,GB,52.48,1.75,23,87,52.0,16.11
Juruti,BR,-2.15,-56.09,23,78,81.99,2.73
East London,ZA,-33.02,27.91,66,82,69.53,11.25
Ixtapa,MX,20.7,-105.2,90,74,78.8,9.17
Farap,TM,39.17,63.61,65,54,55.4,4.7
Kruisfontein,ZA,-34.0,24.73,0,83,62.49,8.39
Mataura,NZ,-46.19,168.86,1,75,55.0,4.0
Portland,US,45.52,-122.68,1,29,62.01,9.17
Tasiilaq,GL,65.61,-37.64,100,72,10.4,9.66
Sitka,US,57.05,-135.33,40,72,44.6,13.87
Te Anau,NZ,-45.42,167.72,3,56,55.09,3.67
Nanortalik,GL,60.14,-45.24,17,55,19.78,10.92
Naze,JP,28.37,129.48,98,63,64.4,4.7
Kushima,JP,31.46,131.23,75,71,55.4,9.17
Hermanus,ZA,-34.42,19.23,2,92,64.0,1.14
Dalianwan,CN,39.03,121.69,0,30,55.4,13.42
Kaeo,NZ,-35.1,173.78,0,53,66.99,7.0
Hilo,US,19.73,-155.09,90,74,78.8,16.11
Laureles,US,26.11,-97.49,75,61,84.2,23.04
Jamestown,US,42.1,-79.24,20,74,39.99,11.41
Hobart,AU,-42.88,147.33,75,49,72.0,10.29
Talcahuano,CL,-36.72,-73.12,0,72,64.4,12.75
Severo-Kuril'sk,RU,50.68,156.12,100,85,21.33,23.49
Aykhal,RU,66.0,111.5,0,82,-18.4,4.47
Ribeira Grande,PT,38.52,-28.7,12,88,58.6,10.07
Longyearbyen,SJ,78.22,15.64,20,75,-18.4,6.93
Srednekolymsk,RU,67.45,153.68,82,91,-6.99,9.64
Albany,US,42.6,-73.97,75,89,46.99,9.17
Mar del Plata,AR,-38.0,-57.56,100,88,68.0,3.36
Kondinskoye,RU,59.65,67.41,71,84,21.11,14.09
Walvis Bay,NA,-22.96,14.51,0,95,62.01,6.51
Vila Velha,BR,-20.33,-40.29,40,83,80.6,4.7
Bengkulu,ID,-3.8,102.27,69,90,74.41,3.76
Tuktoyaktuk,CA,69.45,-133.04,75,84,1.4,3.36
Tessalit,ML,20.2,1.01,97,19,80.38,0.69
Brae,GB,60.4,-1.35,39,62,39.2,20.8
Cayenne,GF,4.93,-52.33,6,88,77.0,2.24
Hong Kong,HK,22.29,114.16,20,73,72.0,9.17
Road Town,VG,18.42,-64.62,40,78,78.8,5.82
Richards Bay,ZA,-28.78,32.04,100,70,71.44,21.14
Chokurdakh,RU,70.63,147.92,100,92,-7.1,14.79
Yellowknife,CA,62.46,-114.35,75,64,1.99,6.93
New Norfolk,AU,-42.78,147.06,75,49,71.01,10.29
Dvinskoy Bereznik,RU,62.86,42.71,100,82,29.16,10.78
Mildura,AU,-34.2,142.15,0,43,79.0,8.05
Capaci,IT,38.17,13.24,75,76,57.99,3.36
Nsanje,MW,-16.92,35.26,59,98,68.0,3.38
Autazes,BR,-3.58,-59.13,99,83,79.56,1.43
Khatanga,RU,71.97,102.5,89,87,-14.66,8.01
Bubaque,GW,11.28,-15.83,30,72,79.3,21.09
Klaksvík,FO,62.23,-6.59,43,67,35.6,16.11
Tiksi,RU,71.69,128.87,89,88,-30.86,7.9
Tubualá,PA,9.52,-79.03,40,61,82.4,8.05
Santa Cruz de la Sierra,BO,-17.8,-63.17,40,78,80.6,11.41
Develi,TR,38.39,35.49,90,92,24.8,4.74
Davila,PH,18.47,120.58,75,88,71.6,2.24
Ambon City,ID,-3.7,128.18,47,72,82.47,4.81
Waingapu,ID,-9.66,120.26,0,72,84.51,11.34
Sorong,ID,-0.88,131.25,0,67,83.21,2.53
Castro,BR,-24.79,-50.01,0,97,65.41,5.91
Sijunjung,ID,-0.69,100.95,85,96,70.88,0.92
Fiumicino,IT,41.77,12.23,22,100,54.0,3.36
Whitehorse,CA,60.72,-135.05,75,88,34.0,1.86
Baruun-Urt,MN,46.68,113.28,100,78,22.44,11.61
Barrow,US,71.29,-156.79,1,85,10.4,12.75
Tiznit Province,MA,29.58,-9.5,100,86,47.1,12.93
